CMS Certification Number (CCN),Provider Name,Provider Address,City/Town,State,ZIP Code,Location,Processing Date,email
056238,Solano Post Acute,2200 TUOLUMNE STREET,VALLEJO,CA,94589,"2200 TUOLUMNE STREET,VALLEJO,CA,94589",2026-04-01,
056244,GRAND PARK CONVALESCENT HOSPITAL,2312 WEST 8TH STREET,LOS ANGELES,CA,90057,"2312 WEST 8TH STREET,LOS ANGELES,CA,90057",2026-04-01,
056245,CALIFORNIA PACIFIC MEDICAL CTR- DAVIES CAMPUS HOSP,601 DUBOCE AVE,SAN FRANCISCO,CA,94117,"601 DUBOCE AVE,SAN FRANCISCO,CA,94117",2026-04-01,
056250,SHERMAN OAKS HEALTH & REHAB,14401 HUSTON ST.,SHERMAN OAKS,CA,91423,"14401 HUSTON ST.,SHERMAN OAKS,CA,91423",2026-04-01,
056253,BERKLEY POST-ACUTE,6600 SEPULVEDA BLVD,VAN NUYS,CA,91411,"6600 SEPULVEDA BLVD,VAN NUYS,CA,91411",2026-04-01,
056258,"RIVER VALLEY HEALTHCARE & WELLNESS CENTRE, LP",2490 COURT STREET,REDDING,CA,96001,"2490 COURT STREET,REDDING,CA,96001",2026-04-01,
056259,NORTHVINE POSTACUTE CARE,446 ARROWOOD DR,SANTA ROSA,CA,95407,"446 ARROWOOD DR,SANTA ROSA,CA,95407",2026-04-01,
056260,BAYBERRY SKILLED NURSING & HEALTHCARE CENTER,1800 ADOBE STREET,CONCORD,CA,94520,"1800 ADOBE STREET,CONCORD,CA,94520",2026-04-01,
056266,KEYSTONE POST-ACUTE,3672 NORTH FIRST STREET,FRESNO,CA,93726,"3672 NORTH FIRST STREET,FRESNO,CA,93726",2026-04-01,
056271,MISSION PALMS HEALTHCARE CENTER,240 HOSPITAL CIRCLE,WESTMINSTER,CA,92683,"240 HOSPITAL CIRCLE,WESTMINSTER,CA,92683",2026-04-01,
056274,RED BLUFF HEALTH CARE CENTER,555 LUTHER ROAD,RED BLUFF,CA,96080,"555 LUTHER ROAD,RED BLUFF,CA,96080",2026-04-01,
056281,COUNTRYSIDE CARE CENTER,925 NORTH CORNELIA,FRESNO,CA,93706,"925 NORTH CORNELIA,FRESNO,CA,93706",2026-04-01,
056283,BIXBY TOWERS POST-ACUTE REHAB,3747 ATLANTIC AVENUE,LONG BEACH,CA,90807,"3747 ATLANTIC AVENUE,LONG BEACH,CA,90807",2026-04-01,
056288,HANFORD POST ACUTE,1007 WEST LACEY BLVD,HANFORD,CA,93230,"1007 WEST LACEY BLVD,HANFORD,CA,93230",2026-04-01,
056293,ALCOTT REHABILITATION HOSPITAL,3551 WEST OLYMPIC BLVD.,LOS ANGELES,CA,90019,"3551 WEST OLYMPIC BLVD.,LOS ANGELES,CA,90019",2026-04-01,
056294,SAN JOAQUIN NURSING CENTER AND REHABILITATION CENT,3601 SAN DIMAS,BAKERSFIELD,CA,93301,"3601 SAN DIMAS,BAKERSFIELD,CA,93301",2026-04-01,
056296,CRESCENT CITY CARE CENTER,1280 MARSHALL STREET,CRESCENT CITY,CA,95531,"1280 MARSHALL STREET,CRESCENT CITY,CA,95531",2026-04-01,
056298,WE CARE SKILLED NURSING - FREMONT,2100 PARKSIDE DRIVE,FREMONT,CA,94536,"2100 PARKSIDE DRIVE,FREMONT,CA,94536",2026-04-01,
056300,"GRANADA REHABILITATION & WELLNESS CENTER, LP",2885 HARRIS STREET,EUREKA,CA,95503,"2885 HARRIS STREET,EUREKA,CA,95503",2026-04-01,
056304,MISSION CARMICHAEL HEALTHCARE CENTER,3630 MISSION AVENUE,CARMICHAEL,CA,95608,"3630 MISSION AVENUE,CARMICHAEL,CA,95608",2026-04-01,
056308,HERITAGE REHABILITATION CENTER,21414 S. VERMONT AVENUE,TORRANCE,CA,90502,"21414 S. VERMONT AVENUE,TORRANCE,CA,90502",2026-04-01,
056315,CITRUS GROVE POST ACUTE,9025 COLORADO AVENUE,RIVERSIDE,CA,92503,"9025 COLORADO AVENUE,RIVERSIDE,CA,92503",2026-04-01,
056316,CAMELLIA GARDENS CARE CENTER,1920 N. FAIR OAKS AVENUE,PASADENA,CA,91103,"1920 N. FAIR OAKS AVENUE,PASADENA,CA,91103",2026-04-01,
056322,MONTROSE SPRINGS SKILLED NURSING & WELLNESS CENTER,2635 HONOLULU AVE,MONTROSE,CA,91020,"2635 HONOLULU AVE,MONTROSE,CA,91020",2026-04-01,
056324,HAMPTON POST ACUTE,442 HAMPTON STREET,STOCKTON,CA,95204,"442 HAMPTON STREET,STOCKTON,CA,95204",2026-04-01,
056326,BURLINGTON CONVALESCENT HOSPITAL,845 S.BURLINGTON AVENUE,LOS ANGELES,CA,90057,"845 S.BURLINGTON AVENUE,LOS ANGELES,CA,90057",2026-04-01,
056327,WALNUT CREEK SKILLED NURSING & REHABILITATION CENT,1224 ROSSMOOR PARKWAY,WALNUT CREEK,CA,94595,"1224 ROSSMOOR PARKWAY,WALNUT CREEK,CA,94595",2026-04-01,
056330,REO VISTA HEALTHCARE CENTER,6061 BANBURY ST.,SAN DIEGO,CA,92139,"6061 BANBURY ST.,SAN DIEGO,CA,92139",2026-04-01,
056334,BEACHWOOD POST-ACUTE & REHAB,1340 15TH STREET,SANTA MONICA,CA,90404,"1340 15TH STREET,SANTA MONICA,CA,90404",2026-04-01,
056338,MORNING STAR POST ACUTE,111 BARSTOW AVE.,CLOVIS,CA,93612,"111 BARSTOW AVE.,CLOVIS,CA,93612",2026-04-01,
056346,BRIDGEVIEW POST ACUTE,521 LOREL WAY,YUBA CITY,CA,95991,"521 LOREL WAY,YUBA CITY,CA,95991",2026-04-01,
056348,"BAY VIEW REHABILITATION HOSPITAL, LLC",516 WILLOW STREET,ALAMEDA,CA,94501,"516 WILLOW STREET,ALAMEDA,CA,94501",2026-04-01,
056350,LAKE MERRITT HEALTHCARE CENTER LLC,309 MACARTHUR BOULEVARD,OAKLAND,CA,94610,"309 MACARTHUR BOULEVARD,OAKLAND,CA,94610",2026-04-01,
056353,Atterdag Care Center,636 Atterdag Road,Solvang,CA,93463,"636 Atterdag Road,Solvang,CA,93463",2026-04-01,
056361,"FORTUNA REHABILITATION AND WELLNESS CENTER, LP",2321 NEWBURG ROAD,FORTUNA,CA,95540,"2321 NEWBURG ROAD,FORTUNA,CA,95540",2026-04-01,
056363,GRAND VALLEY HEALTH CARE CENTER,13524 SHERMAN WAY,VAN NUYS,CA,91405,"13524 SHERMAN WAY,VAN NUYS,CA,91405",2026-04-01,
056364,SUMMERFIELD HEALTH CARE CENTER,1280 SUMMERFIELD RD,SANTA ROSA,CA,95405,"1280 SUMMERFIELD RD,SANTA ROSA,CA,95405",2026-04-01,
056376,A GRACE SUB ACUTE & SKILLED CARE,1250 S. WINCHESTER BOULEVARD,SAN JOSE,CA,95128,"1250 S. WINCHESTER BOULEVARD,SAN JOSE,CA,95128",2026-04-01,
056377,THE REHABILITATION CENTER ON PICO,3233 W. PICO BOULEVARD,LOS ANGELES,CA,90019,"3233 W. PICO BOULEVARD,LOS ANGELES,CA,90019",2026-04-01,
056378,OCEAN RIDGE POST ACUTE,3850 E. ESTHER ST.,LONG BEACH,CA,90804,"3850 E. ESTHER ST.,LONG BEACH,CA,90804",2026-04-01,
056380,"LOS FELIZ HEALTHCARE & WELLNESS CENTER, LP",3002 ROWENA AVENUE,LOS ANGELES,CA,90039,"3002 ROWENA AVENUE,LOS ANGELES,CA,90039",2026-04-01,
056381,DELTA VIEW POST ACUTE,1210 A STREET,ANTIOCH,CA,94509,"1210 A STREET,ANTIOCH,CA,94509",2026-04-01,
056382,THE GROVE POST-ACUTE CARE CENTER,14122 HUBBARD STREET,SYLMAR,CA,91342,"14122 HUBBARD STREET,SYLMAR,CA,91342",2026-04-01,
056388,PARADISE VALLEY HEALTH CARE,2575 E. EIGHTH ST.,NATIONAL CITY,CA,91950,"2575 E. EIGHTH ST.,NATIONAL CITY,CA,91950",2026-04-01,
056389,VALE HEALTHCARE CENTER,13484 SAN PABLO AVENUE,SAN PABLO,CA,94806,"13484 SAN PABLO AVENUE,SAN PABLO,CA,94806",2026-04-01,
056392,PLEASANTON NURSING AND REHABILITATION CENTER,300 NEAL STREET,PLEASANTON,CA,94566,"300 NEAL STREET,PLEASANTON,CA,94566",2026-04-01,
056394,GOLDEN PAVILION HEALTHCARE,99 ESCUELA DRIVE,DALY CITY,CA,94015,"99 ESCUELA DRIVE,DALY CITY,CA,94015",2026-04-01,
056399,LA CASA VIA TRANSITIONAL CARE CENTER,1449 YGNACIO VALLEY ROAD,WALNUT CREEK,CA,94598,"1449 YGNACIO VALLEY ROAD,WALNUT CREEK,CA,94598",2026-04-01,
056405,CERRITOS VISTA HEALTHCARE CENTER,17836 WOODRUFF AVENUE,BELLFLOWER,CA,90706,"17836 WOODRUFF AVENUE,BELLFLOWER,CA,90706",2026-04-01,
056410,WHITNEY OAKS CARE CENTER,3529 WALNUT AVENUE,CARMICHAEL,CA,95608,"3529 WALNUT AVENUE,CARMICHAEL,CA,95608",2026-04-01,
056411,PARK VIEW POST ACUTE,3751 MONTGOMERY DR,SANTA ROSA,CA,95405,"3751 MONTGOMERY DR,SANTA ROSA,CA,95405",2026-04-01,
056412,NORTHRIDGE CARE CENTER,7836 RESEDA BLVD,RESEDA,CA,91335,"7836 RESEDA BLVD,RESEDA,CA,91335",2026-04-01,
056413,TEMPLE CITY HEALTHCARE,5101 TYLER AVENUE,TEMPLE CITY,CA,91780,"5101 TYLER AVENUE,TEMPLE CITY,CA,91780",2026-04-01,
056417,VIEW HEIGHTS CONV HOSP,12619 S. AVALON BLVD,LOS ANGELES,CA,90061,"12619 S. AVALON BLVD,LOS ANGELES,CA,90061",2026-04-01,
056422,FREMONT HEALTHCARE CENTER,39022 PRESIDIO WAY,FREMONT,CA,94538,"39022 PRESIDIO WAY,FREMONT,CA,94538",2026-04-01,
056423,GATEWAY POST ACUTE,661 WEST POPLAR,PORTERVILLE,CA,93257,"661 WEST POPLAR,PORTERVILLE,CA,93257",2026-04-01,
056429,Laurel Convalescent Hospital,7509 N. Laurel Ave,Fontana,CA,92336,"7509 N. Laurel Ave,Fontana,CA,92336",2026-04-01,
056430,NORTHGATE POSTACUTE CARE,40 PROFESSIONAL CENTER PARKWAY,SAN RAFAEL,CA,94903,"40 PROFESSIONAL CENTER PARKWAY,SAN RAFAEL,CA,94903",2026-04-01,
056431,INLAND VALLEY CARE AND REHABILITATION CENTER,250 W. ARTESIA STREET,POMONA,CA,91768,"250 W. ARTESIA STREET,POMONA,CA,91768",2026-04-01,
056435,HYDE PARK HEALTHCARE CENTER,6520 WEST BLVD.,LOS ANGELES,CA,90043,"6520 WEST BLVD.,LOS ANGELES,CA,90043",2026-04-01,
056438,"FLOWER VILLA, INC",1480 S. LA CIENEGA BL,LOS ANGELES,CA,90035,"1480 S. LA CIENEGA BL,LOS ANGELES,CA,90035",2026-04-01,
056443,GEORGE L MEE MEMORIAL HOSPITAL D/P SNF,300 CANAL STREET,KING CITY,CA,93930,"300 CANAL STREET,KING CITY,CA,93930",2026-04-01,
056446,PARAMOUNT CONVALESCENT HOSP.,8558 EAST ROSECRANS AVENUE,PARAMOUNT,CA,90723,"8558 EAST ROSECRANS AVENUE,PARAMOUNT,CA,90723",2026-04-01,
056447,HAYWARD HILLS HEALTH CARE CENTER,1768 B STREET,HAYWARD,CA,94541,"1768 B STREET,HAYWARD,CA,94541",2026-04-01,
056449,SAN FRANCISCO POST ACUTE,5767 MISSION STREET,SAN FRANCISCO,CA,94112,"5767 MISSION STREET,SAN FRANCISCO,CA,94112",2026-04-01,
056451,Cheviot Hills Post Acute,3533 Motor Avenue,Los Angeles,CA,90034,"3533 Motor Avenue,Los Angeles,CA,90034",2026-04-01,
056457,GREENRIDGE POST ACUTE,2150 PYRAMID DRIVE,EL SOBRANTE,CA,94803,"2150 PYRAMID DRIVE,EL SOBRANTE,CA,94803",2026-04-01,
056458,GREENFIELD CARE CENTER OF SOUTH GATE,8455 STATE STREET,SOUTH GATE,CA,90280,"8455 STATE STREET,SOUTH GATE,CA,90280",2026-04-01,
056466,SIERRA VIEW CARE CENTER,14318 OHIO STREET,BALDWIN PARK,CA,91706,"14318 OHIO STREET,BALDWIN PARK,CA,91706",2026-04-01,
056475,VISTA POST ACUTE,3269 D STREET,HAYWARD,CA,94541,"3269 D STREET,HAYWARD,CA,94541",2026-04-01,
056476,Rosewood Post Acute,1911 OAK PARK BOULEVARD,PLEASANT HILL,CA,94523,"1911 OAK PARK BOULEVARD,PLEASANT HILL,CA,94523",2026-04-01,
056477,EASTLAND SUBACUTE AND REHABILITATION CENTER,3825 DURFEE AVE,EL MONTE,CA,91732,"3825 DURFEE AVE,EL MONTE,CA,91732",2026-04-01,
056478,LIGHTHOUSE  HEALTHCARE CENTER,2222 SANTA ANA BLVD.,LOS ANGELES,CA,90059,"2222 SANTA ANA BLVD.,LOS ANGELES,CA,90059",2026-04-01,
056479,ALAMEDA COUNTY MEDICAL CENTER D/P SNF,15400 FOOTHILL BOULEVARD,SAN LEANDRO,CA,94578,"15400 FOOTHILL BOULEVARD,SAN LEANDRO,CA,94578",2026-04-01,
056483,"SHERWOOD OAKS POST ACUTE CARE, LLC",130 DANA STREET,FORT BRAGG,CA,95437,"130 DANA STREET,FORT BRAGG,CA,95437",2026-04-01,
056485,ARLINGTON GARDENS CARE CENTER,3688 NYE AVENUE,RIVERSIDE,CA,92505,"3688 NYE AVENUE,RIVERSIDE,CA,92505",2026-04-01,
056487,RIO HONDO SUBACUTE &  NURSING CENTER,273 E BEVERLY BOULEVARD,MONTEBELLO,CA,90640,"273 E BEVERLY BOULEVARD,MONTEBELLO,CA,90640",2026-04-01,
056499,PROVIDENCE LITTLE CO OF MARY TRANSITIONAL CARE CTR,4320 MARICOPA  STREET,TORRANCE,CA,90503,"4320 MARICOPA  STREET,TORRANCE,CA,90503",2026-04-01,
05A024,CRESTWOOD MANOR,1400 CELESTE DR.,MODESTO,CA,95355,"1400 CELESTE DR.,MODESTO,CA,95355",2026-04-01,
05A027,Sierra Vista,3455 East Highland Ave,Highland,CA,92346,"3455 East Highland Ave,Highland,CA,92346",2026-04-01,
05A110,GRACE HOME INC.,13435 PEACH AVENUE,LIVINGSTON,CA,95334,"13435 PEACH AVENUE,LIVINGSTON,CA,95334",2026-04-01,
05A137,LAUREL PARK BEHAVIORAL HEALTH CENTER,1425 LAUREL AVENUE,POMONA,CA,91768,"1425 LAUREL AVENUE,POMONA,CA,91768",2026-04-01,
05A147,Merced Behavioral Center,1255 B STREET,MERCED,CA,95341,"1255 B STREET,MERCED,CA,95341",2026-04-01,
05A192,THE ROYAL HOME,12436 ROYAL ROAD,EL CAJON,CA,92021,"12436 ROYAL ROAD,EL CAJON,CA,92021",2026-04-01,
05A208,Shandin Hills Behavior Therapy Center,4164 N 4th Ave,San Bernardino,CA,92407,"4164 N 4th Ave,San Bernardino,CA,92407",2026-04-01,
05A263,RIVERSIDE BEHAVIORAL HEALTHCARE CENTER,4580 PALM AVENUE,RIVERSIDE,CA,92501,"4580 PALM AVENUE,RIVERSIDE,CA,92501",2026-04-01,
05A264,VISTA PACIFICA CENTER,3674 PACIFIC AVENUE,JURUPA VALLEY,CA,92509,"3674 PACIFIC AVENUE,JURUPA VALLEY,CA,92509",2026-04-01,
05A269,MEADOWBROOK BEHAVIORAL HEALTH CENTER,3951 EAST BLVD.,LOS ANGELES,CA,90066,"3951 EAST BLVD.,LOS ANGELES,CA,90066",2026-04-01,
05A277,INSPIRE BEHAVIORAL HEALTH,401 RIDGE VISTA AVENUE,SAN JOSE,CA,95127,"401 RIDGE VISTA AVENUE,SAN JOSE,CA,95127",2026-04-01,
05A290,ST. ANNE'S HOME,300 LAKE STREET,SAN FRANCISCO,CA,94118,"300 LAKE STREET,SAN FRANCISCO,CA,94118",2026-04-01,
05A292,HELEN BERNARDY CENTER D/P SNF,8060 FROST ST,SAN DIEGO,CA,92123,"8060 FROST ST,SAN DIEGO,CA,92123",2026-04-01,
05A315,HAYES CONVALESCENT HOSPITAL,1250 HAYES STREET,SAN FRANCISCO,CA,94117,"1250 HAYES STREET,SAN FRANCISCO,CA,94117",2026-04-01,
05A355,LA PAZ GEROPSYCHIATRIC CENTER,8835 VANS STREET,PARAMOUNT,CA,90723,"8835 VANS STREET,PARAMOUNT,CA,90723",2026-04-01,
05A357,DEPT OF STATE HOSPITALS - NAPA D/P SNF,2100 NAPA-VALLEJO HIGHWAY,NAPA,CA,94558,"2100 NAPA-VALLEJO HIGHWAY,NAPA,CA,94558",2026-04-01,
05A360,PENN MAR HEALTHCARE CENTER,3938 COGSWELL ROAD,EL MONTE,CA,91732,"3938 COGSWELL ROAD,EL MONTE,CA,91732",2026-04-01,
05A371,Crestwood Wellness and Recovery Center,3062 CHURN CREEK RD.,REDDING,CA,96002,"3062 CHURN CREEK RD.,REDDING,CA,96002",2026-04-01,
05A396,GARFIELD NEUROBEHAVIORAL CENTER,1451 28TH AVENUE,OAKLAND,CA,94601,"1451 28TH AVENUE,OAKLAND,CA,94601",2026-04-01,
05A408,CRESTWOOD TREATMENT CENTER,2171 MOWRY AVENUE,FREMONT,CA,94538,"2171 MOWRY AVENUE,FREMONT,CA,94538",2026-04-01,
05A427,CRESTWOOD MANOR - FREMONT,4303 STEVENSON BOULEVARD,FREMONT,CA,94538,"4303 STEVENSON BOULEVARD,FREMONT,CA,94538",2026-04-01,
065092,VILLA MANOR CARE CENTER,7950 W MISSISSIPPI AVE,LAKEWOOD,CO,80226,"7950 W MISSISSIPPI AVE,LAKEWOOD,CO,80226",2026-04-01,
065108,"VILLAS AT SUNNY ACRES, THE",2501 E 104TH AVE,THORNTON,CO,80233,"2501 E 104TH AVE,THORNTON,CO,80233",2026-04-01,
065110,RED CLIFFS POST ACUTE,2901 N 12TH ST,GRAND JUNCTION,CO,81506,"2901 N 12TH ST,GRAND JUNCTION,CO,81506",2026-04-01,
065119,VALLEY MANOR CARE CENTER,1401 S CASCADE AVE,MONTROSE,CO,81401,"1401 S CASCADE AVE,MONTROSE,CO,81401",2026-04-01,
065120,CLEAR CREEK CARE CENTER,7481 KNOX PL,WESTMINSTER,CO,80030,"7481 KNOX PL,WESTMINSTER,CO,80030",2026-04-01,
065121,"PAVILION AT VILLA PUEBLO, THE",855 HUNTER DR,PUEBLO,CO,81001,"855 HUNTER DR,PUEBLO,CO,81001",2026-04-01,
065129,NORTH SHORE HEALTH & REHAB FACILITY,1365 W 29TH ST,LOVELAND,CO,80538,"1365 W 29TH ST,LOVELAND,CO,80538",2026-04-01,
065139,GOOD SAMARITAN SOCIETY -- LOVELAND VILLAGE,2101 S GARFIELD AVE,LOVELAND,CO,80537,"2101 S GARFIELD AVE,LOVELAND,CO,80537",2026-04-01,
065142,LEMAY AVENUE HEALTH AND REHAB LLC,4824 S LEMAY AVE,FORT COLLINS,CO,80525,"4824 S LEMAY AVE,FORT COLLINS,CO,80525",2026-04-01,
065144,GUNNISON VALLEY HEALTH SENIOR CARE CENTER,1500 W TOMICHI AVE,GUNNISON,CO,81230,"1500 W TOMICHI AVE,GUNNISON,CO,81230",2026-04-01,
065147,MOUNTAIN VIEW POST ACUTE,835 TENDERFOOT HILL RD,COLORADO SPRINGS,CO,80906,"835 TENDERFOOT HILL RD,COLORADO SPRINGS,CO,80906",2026-04-01,
065150,DEVONSHIRE CARE CENTER,1330 SIDNEY AVE,STERLING,CO,80751,"1330 SIDNEY AVE,STERLING,CO,80751",2026-04-01,
065152,SUNDANCE SKILLED NURSING AND REHABILITATION,2612 W CUCHARRAS ST,COLORADO SPRINGS,CO,80904,"2612 W CUCHARRAS ST,COLORADO SPRINGS,CO,80904",2026-04-01,
065153,VISTA GRANDE REHABILITATION AND HEALTHCARE CENTER,680 E HOSPITAL DR,CORTEZ,CO,81321,"680 E HOSPITAL DR,CORTEZ,CO,81321",2026-04-01,
065163,EBEN EZER LUTHERAN CARE CENTER,122 HOSPITAL RD,BRUSH,CO,80723,"122 HOSPITAL RD,BRUSH,CO,80723",2026-04-01,
065166,"POUDRE CANYON REHABILITATION AND NURSING, LLC",1000 S LEMAY AVE,FORT COLLINS,CO,80524,"1000 S LEMAY AVE,FORT COLLINS,CO,80524",2026-04-01,
065168,FALCON HEIGHTS REHABILITATION AND NURSING LLC,1795 MONTEREY RD,COLORADO SPRINGS,CO,80910,"1795 MONTEREY RD,COLORADO SPRINGS,CO,80910",2026-04-01,
065170,SOUTH PLATTE REHABILITATION AND NURSING LLC,2200 EDISON ST,BRUSH,CO,80723,"2200 EDISON ST,BRUSH,CO,80723",2026-04-01,
065172,FOUNTAIN VIEW REHABILITATION AND NURSING LLC,2438 E FOUNTAIN BLVD,COLORADO SPRINGS,CO,80910,"2438 E FOUNTAIN BLVD,COLORADO SPRINGS,CO,80910",2026-04-01,
065174,"STERLING REHABILITATION AND NURSING, LLC",1420 S 3RD AVE,STERLING,CO,80751,"1420 S 3RD AVE,STERLING,CO,80751",2026-04-01,
065175,"KIOWA HILLS REHABILITATION AND NURSING, LLC",924 W KIOWA ST,COLORADO SPRINGS,CO,80905,"924 W KIOWA ST,COLORADO SPRINGS,CO,80905",2026-04-01,
065176,HIGHLAND PARK REHABILITATION & CARE CENTER,500 GENEVA ST,AURORA,CO,80010,"500 GENEVA ST,AURORA,CO,80010",2026-04-01,
065181,VALLEY VIEW VILLA,815 FREMONT AVE,FORT MORGAN,CO,80701,"815 FREMONT AVE,FORT MORGAN,CO,80701",2026-04-01,
065189,"PEAKS CARE CENTER, THE",1440 COFFMAN ST,LONGMONT,CO,80501,"1440 COFFMAN ST,LONGMONT,CO,80501",2026-04-01,
065191,Heights Care & Rehabilitation LLC,3131 S FEDERAL BLVD,DENVER,CO,80236,"3131 S FEDERAL BLVD,DENVER,CO,80236",2026-04-01,
065193,THORNTON CARE CENTER,501 THORNTON PKWY,THORNTON,CO,80229,"501 THORNTON PKWY,THORNTON,CO,80229",2026-04-01,
065195,HOPE SPRINGS CARE CENTER,1043 RIDGE ST,MONTROSE,CO,81401,"1043 RIDGE ST,MONTROSE,CO,81401",2026-04-01,
065198,"GARDENS, THE",104 LOIS LN,COLORADO SPRINGS,CO,80904,"104 LOIS LN,COLORADO SPRINGS,CO,80904",2026-04-01,
065209,WESTERN HILLS HEALTH CARE CENTER,1625 CARR ST,LAKEWOOD,CO,80214,"1625 CARR ST,LAKEWOOD,CO,80214",2026-04-01,
065211,"FAIRACRES MANOR, INC.",1700 18TH AVE,GREELEY,CO,80631,"1700 18TH AVE,GREELEY,CO,80631",2026-04-01,
065212,WESTLAKE HEALTH AND REHABILITATION CENTER,1637 29TH AVE PL,GREELEY,CO,80634,"1637 29TH AVE PL,GREELEY,CO,80634",2026-04-01,
065217,CANON LODGE CARE CENTER,905 HARDING AVE,CANON CITY,CO,81212,"905 HARDING AVE,CANON CITY,CO,81212",2026-04-01,
065220,COLUMBINE MANOR CARE CENTER,530 W 16TH ST,SALIDA,CO,81201,"530 W 16TH ST,SALIDA,CO,81201",2026-04-01,
065221,CREEKSIDE VILLAGE REHABILITATION AND NURSING LLC,1000 E STUART ST,FORT COLLINS,CO,80525,"1000 E STUART ST,FORT COLLINS,CO,80525",2026-04-01,
065225,"COLONIAL REHABILITATION AND NURSING, LLC",1340 E FILLMORE ST,COLORADO SPRINGS,CO,80907,"1340 E FILLMORE ST,COLORADO SPRINGS,CO,80907",2026-04-01,
065227,GOOD SAMARITAN SOCIETY -- FORT COLLINS VILLAGE,508 W TRILBY RD,FORT COLLINS,CO,80525,"508 W TRILBY RD,FORT COLLINS,CO,80525",2026-04-01,
065228,CANYON VIEW CARE CENTER,151 E 3RD ST,PALISADE,CO,81526,"151 E 3RD ST,PALISADE,CO,81526",2026-04-01,
065229,LAKESHORE POST ACUTE AND REHABILITATION CENTER,2701 CALIFORNIA ST,PUEBLO,CO,81004,"2701 CALIFORNIA ST,PUEBLO,CO,81004",2026-04-01,
065230,SOUTH VALLEY POST ACUTE REHABILITATION,4450 E JEWELL AVE,DENVER,CO,80222,"4450 E JEWELL AVE,DENVER,CO,80222",2026-04-01,
065231,University Park Care Center,945 DESERT FLOWER BLVD,PUEBLO,CO,81001,"945 DESERT FLOWER BLVD,PUEBLO,CO,81001",2026-04-01,
065234,EVERGREEN NURSING HOME,1991 CARROLL ST,ALAMOSA,CO,81101,"1991 CARROLL ST,ALAMOSA,CO,81101",2026-04-01,
065235,PIONEER HEALTH CARE CENTER,900 S 12TH ST,ROCKY FORD,CO,81067,"900 S 12TH ST,ROCKY FORD,CO,81067",2026-04-01,
065238,SKYLAKE POST ACUTE,12080 BELLAIRE WY,THORNTON,CO,80241,"12080 BELLAIRE WY,THORNTON,CO,80241",2026-04-01,
065239,SAN LUIS CARE CENTER,240 CRAFT DR,ALAMOSA,CO,81101,"240 CRAFT DR,ALAMOSA,CO,81101",2026-04-01,
065241,HILLTOP PARK POST ACUTE,290 S MONACO PKWY,DENVER,CO,80224,"290 S MONACO PKWY,DENVER,CO,80224",2026-04-01,
065244,GLENWOOD SPRINGS HEALTHCARE,2305 BLAKE AVE,GLENWOOD SPRINGS,CO,81601,"2305 BLAKE AVE,GLENWOOD SPRINGS,CO,81601",2026-04-01,
065245,COLUMBINE WEST HEALTH AND REHAB LLC,940 WORTHINGTON CIR,FORT COLLINS,CO,80526,"940 WORTHINGTON CIR,FORT COLLINS,CO,80526",2026-04-01,
065247,SPRINGS VILLAGE CARE CENTER,110 W VAN BUREN ST,COLORADO SPRINGS,CO,80907,"110 W VAN BUREN ST,COLORADO SPRINGS,CO,80907",2026-04-01,
065249,WILLOW TREE CARE CENTER,2050 S MAIN ST,DELTA,CO,81416,"2050 S MAIN ST,DELTA,CO,81416",2026-04-01,
065251,PAONIA CARE AND REHABILITATION CENTER,1625 MEADOWBROOK BLVD,PAONIA,CO,81428,"1625 MEADOWBROOK BLVD,PAONIA,CO,81428",2026-04-01,
065253,LA VILLA GRANDE CARE CENTER,2501 LITTLE BOOKCLIFF DR,GRAND JUNCTION,CO,81501,"2501 LITTLE BOOKCLIFF DR,GRAND JUNCTION,CO,81501",2026-04-01,
065254,SUNNY VISTA LIVING CENTER,2445 E CACHE LA POUDRE ST,COLORADO SPRINGS,CO,80909,"2445 E CACHE LA POUDRE ST,COLORADO SPRINGS,CO,80909",2026-04-01,
065255,BRIARWOOD HEALTH CARE CENTER,1440 VINE ST,DENVER,CO,80206,"1440 VINE ST,DENVER,CO,80206",2026-04-01,
065257,STORYBROOK CARE & REHABILITATION,1005 E ELIZABETH ST,FORT COLLINS,CO,80524,"1005 E ELIZABETH ST,FORT COLLINS,CO,80524",2026-04-01,
065258,HORIZONS CARE CENTER,11411 HIGHWAY 65,ECKERT,CO,81418,"11411 HIGHWAY 65,ECKERT,CO,81418",2026-04-01,
065264,WALBRIDGE MEMORIAL CONVALESCENT WING,100 PIONEERS MEDICAL CENTER DR,MEEKER,CO,81641,"100 PIONEERS MEDICAL CENTER DR,MEEKER,CO,81641",2026-04-01,
065266,GARDEN TERRACE ALZHEIMER'S CENTER OF EXCELLENCE,1600 S POTOMAC ST,AURORA,CO,80012,"1600 S POTOMAC ST,AURORA,CO,80012",2026-04-01,
065267,WINDING TRAILS POST ACUTE,2800 PALO PKWY,BOULDER,CO,80301,"2800 PALO PKWY,BOULDER,CO,80301",2026-04-01,
065269,LIFE CARE CENTER OF PUEBLO,2118 CHATALET LN,PUEBLO,CO,81005,"2118 CHATALET LN,PUEBLO,CO,81005",2026-04-01,
065276,LIFE CARE CENTER OF EVERGREEN,2987 BERGEN PEAK DR,EVERGREEN,CO,80439,"2987 BERGEN PEAK DR,EVERGREEN,CO,80439",2026-04-01,
